"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"12729","IBA57",0.714008838405017,-0.191189326102194,0.106,0.113,1
"12730","CCNT2",0.714069963336798,-0.362141024773017,0.252,0.299,1
"12731","SHLD3",0.714086863648374,-1.14045852398126,0.025,0.06,1
"12732","UBE2D3-AS1",0.714137947699763,-0.218227382238259,0.046,0.055,1
"12733","ZNF79",0.714248409665297,1.01401282505454,0.023,0.012,1
"12734","AK9",0.714291106921487,-0.139863475492362,0.171,0.177,1
"12735","EVPL",0.714476848521522,-0.877178532132596,0.085,0.153,1
"12736","AL121658.1",0.714657028840944,-0.478454987496279,0.008,0.013,1
"12737","ZNF251",0.714852649190114,-0.792960522497184,0.067,0.112,1
"12738","AL133342.1",0.715086737678349,0.193542403206674,0.021,0.019,1
"12739","ATP5MGL",0.715137818677647,-0.487557194603531,0.017,0.026,1
"12740","FBXO10",0.715273629934513,-0.1014643923654,0.01,0.012,1
"12741","INTS12",0.715627718835112,-0.584065175456879,0.169,0.243,1
"12742","SAMD12",0.715643057211202,-0.455128031780254,0.267,0.336,1
"12743","CLN8",0.715986740501624,-0.1014643923654,0.16,0.166,1
"12744","EIF1AD",0.716041942152317,-1.28137940828893,0.085,0.192,1
"12745","LINC01389",0.716392189656519,-2.03058090620889,0.004,0.022,1
"12746","KCTD6",0.716511334809797,-1.33661358582761,0.071,0.166,1
"12747","CABLES2",0.716744679041355,-1.09102516417676,0.035,0.073,1
"12748","KLF16",0.716776971547741,-0.142447077074717,0.11,0.115,1
"12749","AC040977.1",0.71694910130677,-0.314225591717969,0.017,0.023,1
"12750","NEDD9",0.716960412656977,1.82150128670967,0.327,0.108,1
"12751","DCAF8",0.717094780637334,-1.02141826256404,0.329,0.519,1
"12752","SALL2",0.717106057318218,-0.37107145212268,0.05,0.063,1
"12753","ZNF621",0.717180400952443,-0.562432070470484,0.154,0.205,1
"12754","AP000229.1",0.717550475279056,-0.584065175456878,0.008,0.013,1
"12755","NIPBL",0.717603930525389,-0.314135440181298,0.571,0.608,1
"12756","MIR4500HG",0.717803417672742,-3.8185304290939,0.002,0.049,1
"12757","DM1-AS",0.717951939767654,-1.65310681988653,0.004,0.017,1
"12758","CD81",0.71804081183082,-1.04112293295489,0.94,0.988,1
"12759","ELP3",0.718244776005526,0.173692220314379,0.135,0.115,1
"12760","KISS1R",0.718299565232778,1.48233605026563,0.027,0.01,1
"12761","AL122035.2",0.718771559166072,0.281005244457013,0.01,0.009,1
"12762","ADAMTS17",0.718771559166471,0.181469570906099,0.01,0.009,1
"12763","TNFAIP8L3",0.718993598838987,-1.54722840727651,0.012,0.037,1
"12764","AL683813.1",0.719108151902344,-0.729853271017681,0.048,0.075,1
"12765","ASTN2",0.719143198047364,-0.351262971042499,0.027,0.035,1
"12766","ARHGEF4",0.719324472160632,1.71490177098717,0.019,0.006,1
"12767","DDX18",0.719869757660852,-0.654486323175159,0.635,0.745,1
"12768","AC009118.3",0.719888532571764,-0.549713670666101,0.017,0.027,1
"12769","NAPRT",0.719934062783933,-2.55449126552221,0.117,0.548,1
"12770","PYCARD-AS1",0.720344808116766,-2.16193825139171,0.006,0.034,1
"12771","CXorf56",0.720396425588064,-0.394879799510349,0.106,0.13,1
"12772","DTWD1",0.720452283830726,-0.829744755346519,0.292,0.423,1
"12773","AMFR",0.720529484530409,-1.12556504437493,0.246,0.441,1
"12774","SMAD5",0.720655998674982,-0.499489457525261,0.44,0.535,1
"12775","PRDM4",0.721198406399082,-1.39418245722602,0.106,0.245,1
"12776","CMC4",0.721266700641959,-1.63050074844716,0.192,0.449,1
"12777","MTRF1",0.721433422414775,0.242870115570242,0.108,0.09,1
"12778","RSAD1",0.721747027172827,-0.622033025655899,0.135,0.197,1
"12779","LINC01950",0.72183204445486,-3.21997886362479,0.01,0.091,1
"12780","TDRD1",0.721903455941514,-1.71161522517739,0.01,0.041,1
"12781","ZNF490",0.72191537253776,-0.280636182029524,0.09,0.106,1
"12782","POC1B-AS1",0.722252213879245,-1.44118521988701,0.063,0.153,1
"12783","URI1",0.722341889303768,-0.767729774706101,0.637,0.756,1
"12784","AOX1",0.722891721129303,-2.23356792837274,0.004,0.017,1
"12785","AC080129.2",0.722906327465954,-0.744529847650124,0.012,0.021,1
"12786","DHRS9",0.723044824710683,-1.54099645356499,0.002,0.011,1
