"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1858","TMEM265",1.75752769229134e-44,3.87275462812782,0.424,0.031,3.97921844811681e-40,13,"TMEM265"
"1859","PON2",2.7520855574839e-44,4.420964074642,0.304,0.014,6.2309969106993e-40,13,"PON2"
"1860","ATP6AP2",1.69130260944572e-42,3.6553203455622,0.376,0.03,3.82927823804606e-38,13,"ATP6AP2"
"1861","MGST31",2.06429242459221e-42,2.49995991968015,0.52,0.094,4.67376447851923e-38,13,"MGST3"
"1862","ZG16B",3.13536239488625e-42,1.96081398236392,0.272,0.07,7.09877399826197e-38,13,"ZG16B"
"1863","CA121",5.87683605042018e-42,2.41781865638175,0.488,0.098,1.33057445017563e-37,13,"CA12"
"1864","TMEM592",1.99838066857688e-41,2.13091922895467,0.512,0.12,4.52453367172492e-37,13,"TMEM59"
"1865","COX7C6",2.41716694174468e-41,1.37665088689738,0.76,0.319,5.47270767280412e-37,13,"COX7C"
"1866","DSTN3",4.69307262660727e-41,1.60240227381002,0.752,0.278,1.06255857339015e-36,13,"DSTN"
"1867","PTP4A22",9.8465836648249e-41,1.79073837858931,0.464,0.127,2.229365007553e-36,13,"PTP4A2"
"1868","HSPB15",8.45087599824284e-40,1.86202552884312,0.616,0.193,1.91336283476216e-35,13,"HSPB1"
"1869","SCCPDH1",1.20447171623347e-39,3.81683702945779,0.416,0.034,2.7270444127242e-35,13,"SCCPDH"
"1870","H3F3A4",1.38633127835968e-39,0.495222249118684,0.848,0.529,3.13879264733415e-35,13,"H3F3A"
"1871","KRT84",1.96124571875009e-39,1.31272606580301,0.776,0.315,4.44045643182208e-35,13,"KRT8"
"1872","NENF1",4.61555823409887e-39,1.99413769179593,0.408,0.105,1.04500853978233e-34,13,"NENF"
"1873","GSTM34",5.20159073571193e-39,0.423708977323032,0.488,0.211,1.17769215847254e-34,13,"GSTM3"
"1874","CP",1.14964999692226e-38,4.62712434982405,0.272,0.01,2.60292255803168e-34,13,"CP"
"1875","LAMTOR2",2.62168010060148e-38,4.38509266078404,0.28,0.014,5.93574591577182e-34,13,"LAMTOR2"
"1876","NFKBIA1",2.85558534407072e-38,2.61611924674133,0.544,0.108,6.46533077751052e-34,13,"NFKBIA"
"1877","KRTCAP21",3.41380748660901e-38,1.94713170442264,0.408,0.107,7.72920153043146e-34,13,"KRTCAP2"
"1878","PHPT1",3.76574961173753e-38,2.77125577961006,0.496,0.077,8.52603369593494e-34,13,"PHPT1"
"1879","SPCS11",7.55120567428598e-38,2.03870916695546,0.456,0.11,1.70966847671509e-33,13,"SPCS1"
"1880","NQO13",1.07484426242979e-37,2.19257458623456,0.568,0.159,2.43355489456729e-33,13,"NQO1"
"1881","SLC7A2",1.77740927042905e-37,2.85112737834484,0.328,0.047,4.02423232917842e-33,13,"SLC7A2"
"1882","NEAT13",6.65948334158861e-37,0.877686819846124,0.904,0.631,1.50777362336908e-32,13,"NEAT1"
"1883","PPIC",5.36448629334169e-36,3.59232527494948,0.288,0.024,1.21457334167549e-31,13,"PPIC"
"1884","PRLR",6.53415892788371e-36,3.77437124586196,0.328,0.025,1.47939892286215e-31,13,"PRLR"
"1885","SERF26",9.60101325013195e-36,0.28068872979975,0.856,0.507,2.17376540996237e-31,13,"SERF2"
"1886","NFIA2",3.49738601187064e-35,2.15223318398753,0.464,0.101,7.91843166947632e-31,13,"NFIA"
"1887","ZNF217",2.49790460361162e-33,3.41849581905126,0.32,0.03,5.65550581303708e-29,13,"ZNF217"
"1888","NDUFB22",1.78175750889773e-32,2.67178224833349,0.464,0.073,4.03407717589534e-28,13,"NDUFB2"
"1889","FOXA11",1.91554614908011e-31,2.95906420041396,0.368,0.048,4.33698803613227e-27,13,"FOXA1"
"1890","FTL5",3.26732645780028e-31,0.413997870787532,0.848,0.522,7.39755383310562e-27,13,"FTL"
"1891","TMSB4X5",8.91564981607457e-31,1.5401278522705,0.832,0.382,2.01859227485744e-26,13,"TMSB4X"
"1892","TMEM205",1.5361595225747e-30,3.80531344468264,0.264,0.021,3.47801877506139e-26,13,"TMEM205"
"1893","RAB11FIP11",4.49970532792192e-30,2.82288607413059,0.496,0.07,1.0187782832948e-25,13,"RAB11FIP1"
"1894","GPX43",8.79406687019341e-30,1.76922428579145,0.52,0.177,1.99106468008049e-25,13,"GPX4"
"1895","REEP52",3.69485095853819e-29,2.06090265983429,0.432,0.107,8.36551205522632e-25,13,"REEP5"
"1896","EVA1B",1.0896712465263e-28,3.00698138633611,0.296,0.04,2.4671246692602e-24,13,"EVA1B"
"1897","COPZ1",3.21865297280542e-28,3.02483197056498,0.264,0.033,7.28735219572876e-24,13,"COPZ1"
"1898","GATA33",3.71369418871456e-28,1.82691543956559,0.392,0.12,8.40817501266864e-24,13,"GATA3"
"1899","TMED10",1.16173515053748e-27,2.29096258405625,0.328,0.071,2.63028455433192e-23,13,"TMED10"
"1900","UQCRB3",1.89335603146074e-27,1.622698923993,0.568,0.188,4.28674739083025e-23,13,"UQCRB"
"1901","YWHAB1",1.34880750063376e-26,2.18843873566373,0.456,0.103,3.0538350621849e-22,13,"YWHAB"
"1902","LURAP1L",3.06001458881225e-26,2.48507129382777,0.256,0.048,6.92817903052981e-22,13,"LURAP1L"
"1903","MAL2",3.10391269237451e-26,2.79095664795761,0.336,0.051,7.02756872680512e-22,13,"MAL2"
"1904","SRP145",1.12192916075912e-25,0.879337007943224,0.624,0.31,2.54015981287472e-21,13,"SRP14"
"1905","JTB",2.02407091713096e-25,2.01833159625394,0.304,0.076,4.58269896347621e-21,13,"JTB"
"1906","MUCL12",6.89300257425606e-25,3.11997232849884,0.296,0.095,1.56064471283731e-20,13,"MUCL1"
"1907","GALNT62",1.0952910923502e-23,1.94302657615857,0.328,0.09,2.47984856219009e-19,13,"GALNT6"
"1908","KIAA0040",1.18520004251577e-23,3.60917938066036,0.272,0.023,2.68341141625995e-19,13,"KIAA0040"
"1909","CNPY2",2.7151339342093e-23,1.97961157781804,0.28,0.072,6.14733474044328e-19,13,"CNPY2"
"1910","ATOX11",3.05516268028855e-23,1.795236798568,0.272,0.085,6.9171938244413e-19,13,"ATOX1"
